"ID","Award Number","Project Title","Award Period","Project Director First Name","Project Director Middle Name","Project Director Last Name","Co-Project Director First Name","Co-Project Director Middle Name","Co-Project Director Last Name","Organization","Organization City","Organization State","Organization Postal Code","Organization Country","Year Awarded","Primary Humanities Discipline","Grant Program Name","Division or Office","Approved Outright Funds","Approved Matching Funds","Awarded Outright Funds","Awarded Matching Funds","Description"
45,"HAA-284882-22","Freedom and the Press before Freedom of the Press: Tools, Data, and Methods for Researching Secret Printing","1/1/2022 - 12/31/2024","Christopher","","Warren","Samuel","","Lemley","Carnegie Mellon University","Pittsburgh","PA","15213-3815","USA","2021","Cultural History","Digital Humanities Advancement Grants","Digital Humanities","324931","0","324931","0","<p>The scaling up of tools and methods to allow scholars to identify and decipher illicit printing in documents predating and associated with the First Amendment. <br /></p><p>In response to the NEH's “More Perfect Union"" initiative, this application contends that some of the most fascinating stories of the First Amendment’s prehistory are yet to be told – and that they can only be discovered with tools, data, and methods developed in digital humanities. Evidence for clandestine printing often lies below the threshold of human attention – in minute typographical details, recurring pieces of damaged type, similar or divergent paper stocks, or tiny variations in print shop practices, observable only at scale. At the same time, it takes sophisticated information architecture for researchers to move effectively from minute physical details to broader, more consequential patterns.  Freedom and the Press before Freedom of the Press will ameliorate persistent challenges in studying clandestine printing by scaling up an established suite of tools, data, and machine learning methods developed to help researchers discover hidden information in letterpress print.</p>"
45,"HAA-284888-22","Seeing What Takes Place: Exploring Immersive Experiences of Religious Rituals","1/1/2022 - 3/31/2023","John","","Soboslai","","","","Montclair State University","Montclair","NJ","07043-1600","USA","2021","Comparative Religion","Digital Humanities Advancement Grants","Digital Humanities","39176","0","39176","0","<p>Convening a group of religious studies scholars and technologists to research best practices and evaluate the appropriateness of recording and interpreting religious rituals in extended reality (XR) for teaching religion.</p><p>This project seeks to convene a meeting of religious studies scholars and experts in XR modalities to explore the creation of immersive videos analyzing and explaining religious rituals. The proposed two-day advisory meeting will evaluate the best practices for creating stereoscopic (360 degrees) videos combined with documentary style analysis and discussion into resources aimed at teaching about religion. The meeting will consist of presentations by scholars of various religious traditions and experts in educational immersive technologies, paired with brainstorming sessions considering appropriate representations of diverse religious traditions, suitable methods regarding the filming and dissemination of such videos, and concerns around maintaining connections between practices and the living communities that hold them sacred. Information generated by our collaboration will be made publicly available and serve as the backbone for a blueprint towards the creation phase of the project.</p>"
45,"HAA-284893-22","Planning a Federated Early North American Weather Records Digital Resource","7/1/2022 - 6/30/2024","Jennifer","","Stertzer","James","P.","McClure","University of Virginia","Charlottesville","VA","22903-4833","USA","2021","History of Science","Digital Humanities Advancement Grants","Digital Humanities","44570","0","44570","0","<p>A series of meetings to develop a prototype for a federated digital resource on North American weather and climate data collected during the 18th- and 19th-centuries.</p><p>The proposed project is a collaborative effort between the Papers of Thomas Jefferson at Princeton University, the Center for Digital Editing at the University of Virginia, and the Center for Digital Scholarship at the American Philosophical Society. The project is seeking level one funding to support planning meetings, a workshop, drafting of technical specifications, and the development of a prototype for federated weather and climate records digital resource. Planning and experimentation work during this grant period will lay the groundwork for the future development of a federated weather and climate records platform. This platform will support both the editorial preparation (broadly conceived) and publication of weather and climate records. Planning and development work will ultimately result in the publication of the Federated Early North American Weather Records Digital Resource.</p>"
45,"HAA-284908-22","Latent Archive: Immersive Storytelling Platform for Examining Spatial History","1/1/2022 - 3/31/2023","Cagri","Hakan","Zaman","Caroline","Ann","Jones","Massachusetts Institute of Technology","Cambridge","MA","02139-4307","USA","2021","Architecture","Digital Humanities Advancement Grants","Digital Humanities","50000","0","50000","0","<p>Prototype development of a new digital tool that will allow users to identify and study objects and landscapes appearing in moving image scenes.</p><p>We seek Level I funding for planning and early prototype development of the Latent Archive tool, conceived as an immersive media platform for studying moving image archives. The project has been developed in collaboration with MIT Transmedia Storytelling Initiative (TSI) and MIT Virtual Experience Design Lab (VxD).</p>"
45,"HAA-284912-22","Tribesourcing Southwest Film: Digital Repatriation","1/1/2022 - 12/31/2025","Jennifer","Lei","Jenkins","","","","Arizona Board of Regents","Tucson","AZ","85721-0073","USA","2021","Film History and Criticism","Digital Humanities Advancement Grants","Digital Humanities","324573","0","324573","0","<p>A series of workshops in Arizona, New Mexico, and California and the development of a digital curriculum on the creation of culturally-appropriate descriptive metadata and narration for Native American films based on the Tribesourcing Southwest Film website.</p><p>Tribesourcing Southwest Film digitally repurposes a collection of midcentury educational and sponsored films about Native peoples of the Southwestern U.S., reclaiming visual content through recording culturally-informed alternate audio tracks voiced by Native narrators from within the cultures represented. This process, which we have termed “tribesourcing,” has the double benefit of repatriating historic images and decolonizing these archival films, visible at Tribesourcingfilm.com. In this proposal, we seek to extend the project by: recording additional narrations in Southern California, Arizona and New Mexico; developing a digital curriculum for workshops; and to begin decentralizing the project through a series of workshops to help communities who wish to do their own tribesourcing with their own archived audio-visual materials.</p>"
45,"HAA-287475-22","Brendan’s Voyage: An Immersive Environment for Medieval Language and Culture","9/1/2022 - 8/31/2025","Lynn","","Ramey","Jacob","","Abell","Vanderbilt University","Nashville","TN","37203-2416","USA","2022","Medieval Studies","Digital Humanities Advancement Grants","Digital Humanities","149950","0","149950","0","<p>The creation of a virtual immersive environment to provide training to students in medieval languages and cultures.</p><p>Brendan's Voyage: An Immersive Environment for Medieval Language and Culture emphasizes the link between the spoken and written elements of medieval French in a virtual, interactive, immersive learning environment based on a foundational literary text. Informed by empirical research, modern language pedagogy offers immersive learning experiences through study abroad programs or exclusive target-language use in the classroom. These techniques are not readily available for the teaching of medieval languages. Our project addresses this problem through the creation of a virtual immersive environment that allows the user to learn medieval languages as if they were inhabiting an authentic context. Informed by professional game design and modern language pedagogy, Brendan’s Voyage will offer a revolutionary way to teach and learn a historically influential medieval language in a culturally informed narrative and visual context.</p>"
45,"HAA-287582-22","Connected Faith: A Digital Black Religion Project","9/1/2022 - 3/31/2024","Karen","","Seat","","","","Arizona Board of Regents","Tucson","AZ","85721-0073","USA","2022","African American Studies","Digital Humanities Advancement Grants","Digital Humanities","49983","0","49983","0","<p>The research and planning for a new digital resource focusing on historical intersections of Black religious practices and technology.</p><p>The Digital Black Religion Project seeks to bridge the public’s understanding of earlier Black networks as both similar to and foundational in later digital-religious networks through a website with tools, approaches, and resources for the study of digital Black religion. This project is significant to Black religious publics given the past years physical to digital migration of many religious communities.  The way humanities scholars’ study and understand such publics is undergoing deep transformation. At present, digital humanities scholars of religion and Black religious publics hold a shared interest in locating tools and resources to better understand Black religion in the digital context. Yet, research regarding Black religious adherents largely centers statistical data on physically located religious institutions. This project fills a significant gap in the humanities and in social scientific data.</p>"
45,"HAA-287657-22","Preserving BIPOC Expatriates’ Memories During Wartime and Beyond: Building a Volumetric Archiving Platform for Immersive Storytelling and Humanities Pedagogy","9/1/2022 - 12/31/2023","Bryan","","Carter","Rashida","Kamilah","Braggs","Arizona Board of Regents","Tucson","AZ","85721-0073","USA","2022","Ethnic Studies","Digital Humanities Advancement Grants","Digital Humanities","49428","0","49428","0","<p>Research into the best practices for designing and preserving volumetric recordings of individuals for the purpose of teaching and learning history and culture in cultural heritage organizations.</p><p>We are applying for an NEH Digital Humanities Advancement Grant at the level I planning stage in order to identify and begin culling important stories of expatriation by BIPOC during and beyond the war. The NEH Digital Humanities Advancement Grant in particular can help us explore whether volumetric video capture is an effective digital tool for preserving these unforgettable personal narratives and cultural memories in multi-sensory ways that make them accessible long into the future. We will rethink the nature of storytelling, considering, in particular, how immersive, interactive volumetric video capture and display are likely to dramatically alter what and how stories may be told, understood, archived, preserved, and accessed.  A volumetric capture system uses a number of cameras to capture humans , turning them into lifelike, 3-dimensional renderings, producing a nearly identical, photorealistic representation of them.</p>"
45,"HAA-287674-22","Gallery of Glosses","9/1/2022 - 8/31/2024","Atria","","Larson","","","","St. Louis University","St. Louis","MO","63103-2097","USA","2022","Medieval History","Digital Humanities Advancement Grants","Digital Humanities","149835","0","149835","0","<p>The prototyping and testing of a web platform for sharing digitized medieval manuscripts that allows users to identify and transcribe the annotations and marginalia. <br /></p><p>""Gallery of Glosses"" constitutes a project aimed at producing an open digital platform with an accessible and flexible workflow and a community of users centered on ""glosses"" (annotations, marginalia) preserved in medieval manuscripts. It focuses on glosses composed on texts of various genres that were authoritative in medieval education and society.</p>"
45,"HAA-287675-22","Enhancing Accessibility of Site Content in Scalar for the Digital Publication of Indigenous Cultural Heritage Materials","9/1/2022 - 2/28/2025","Aaron","","Glass","Judith","E.","Berman","Bard College","Annandale-on-Hudson","NY","12504-9800","USA","2022","Anthropology","Digital Humanities Advancement Grants","Digital Humanities","150000","0","148546","0","<p>The development of additional features and extensions for the Scalar multimedia platform to better allow scholars and publishers to produce works by and about indigenous cultural and linguistic content.</p><p>This grant will fund enhancements to Scalar, an open-source publishing platform, that will improve accessibility of content and enable core features and functions to better serve the needs of future authors and audiences. We will test the enhancements with content from our Critical Edition of Franz Boas and George Hunt’s groundbreaking 1897 ethnography, The Social Organization and the Secret Societies of the Kwakiutl Indians, currently under development with RavenSpace, an application of Scalar for digital publishing of cultural heritage in accordance with mainstream academic and Indigenous frameworks. In particular, the grant will support collaborative research, testing, and assessment of extensions to Scalar features (navigation templates, advanced search functionality, expanded alt text and AV captioning capacity, and customized Traditional Knowledge Labels) that will increase access to Indigenous cultural and linguistic content, and be extensible throughout the digital humanities.</p>"
45,"HAA-287761-22","Metapolis: Spatializing Histories through Archival Sources","9/1/2022 - 8/31/2025","Lukas","","Klic","","","","President and Fellows of Harvard College","Cambridge","MA","02138-3800","USA","2022","History, Criticism, and Theory of the Arts","Digital Humanities Advancement Grants","Digital Humanities","199688","0","199688","0","<p>The creation of geospatial enhancements to an existing digital infrastructure that will allow users to link to other scholarship, generate new research, and publish findings.</p><p>Metapolis aims to develop a digital research infrastructure to support scholarship in the humanities that seeks to geospatially reconstruct places throughout time. As an interactive map-based publication platform, it enables users to cross-pollinate archival, bibliographic and multimedia sources with interpretive research, allowing for their interlinking and visualization on a map. Built on top of ResearchSpace, an open-source Semantic Web research environment, it facilitates the reuse and publishing of Linked Open Data. A rich set of features support data enrichment with external knowledge bases such as VIAF, WikiData, OCLC, and the Getty vocabularies. Designed both as a research and publication tool, the software allows groups of scholars from a wide range of humanistic disciplines to connect their research and augment each other's findings through the layering of historical maps, interlinking them to sources to allow users to build knowledge about the world and its history.</p>"
45,"HAA-287804-22","Software Enhancements for the Digital Edition of the Settings of Torquato Tasso's poetry, ca. 1570-1640","9/1/2022 - 8/31/2025","Emiliano","","Ricciardi","","","","University of Massachusetts, Amherst","Amherst","MA","01003-9242","USA","2022","Music History and Criticism","Digital Humanities Advancement Grants","Digital Humanities","224687.82","0","185244","0","<p>The enhancement of the digital editing platform that undergirds the Tasso in Music Project by incorporating additional accessibility features and analytical tools.</p><p>The Tasso in Music Project (www.tassomusic.org) is the first complete digital edition of the early modern settings of the poetry of Torquato Tasso, the most prominent literary figure of late 16th-century Italy. With funding from NEH Scholarly Editions ($260,000, 2016-19), the project has made available a repertoire of over 750 settings, most of which were previously unavailable in modern edition, addressing an interdisciplinary audience of scholars and performers. We now seek to enhance the digital framework to make the project accessible to an even broader audience and to encourage analytical studies. Specifically, we will expand the range of the editions’ formats, providing among others an option for Braille notation, creating one of the largest musical repositories accessible to the visually impaired. Additionally, given the analytical potential of the repertoire, with settings of the same poetry by multiple composers, we will build computational tools to analyze the interaction between musical and poetic prosody/syntax.</p>"
45,"HAA-287817-22","Visualizing Oral Histories: New Data Annotation and Visualization Tools for the Oral History Metadata Synchronizer","9/1/2022 - 8/31/2025","Edward","Garvey","Miller","Douglas","A.","Boyd","Dartmouth College","Hanover","NH","03755-1808","USA","2022","History, General","Digital Humanities Advancement Grants","Digital Humanities","349368.16","50000","349368","50000","<p>The development and release of new features for the Oral History Metadata Synchronizer platform used by librarians and archivists to annotate and share oral history collections online.</p><p>This project, a collaboration between Dartmouth College and the University of Kentucky, undertakes a major enhancement of the Oral History Metadata Synchronizer (OHMS), the pre-eminent digital platform for managing and indexing oral history archives.  Drawing on the prior work of the Dartmouth Digital History Initiative (DDHI), the project team will add advanced data annotation and Named Entity Recognition functionality to the OHMS application.  The project team will also draw on the DDHI’s prior experience with data visualization to add mapping and timeline features to the OHMS viewer.  The project will benefit archivists and curators who implement OHMS on digital oral history collections.  It will also benefit the end users of oral history archives, who will have new digital tools for exploring and learning from these collections.  All deliverables for this project will be available on a free and open-source basis.</p>"
45,"HAA-287827-22","Placing the Holocaust: A Digital Platform for Exploring the Intersecting Places of Victims and Perpetrators","9/1/2022 - 12/31/2024","Anne","Kelly","Knowles","","","","University of Maine, Orono","Orono","ME","04473-1513","USA","2022","European History","Digital Humanities Advancement Grants","Digital Humanities","150000","0","150000","0","<p>The development of a new research and learning platform that brings together spatial and linguistic data extracted from historical records and oral histories to support and teach spatial studies of the Holocaust.</p><p>We propose to build a prototype, multi-part, interactive website that will generate new insights into the role of places in genocide and survival while providing a platform for teaching and spatial thinking about the Holocaust. The website will share 14 years of data developed during the team’s research on the geographies of the Holocaust. The site’s unprecedentedly rich content will include detailed data on 1,111 SS-administered concentration and labor camps and 1,142 Jewish ghettos in German-occupied Eastern Europe, with camps and ghettos dynamically linked to sites of experience described in 4,000 transcripts of survivor interviews. This project will demonstrate a new model for humanistic mapping that combines GIS with computational linguistics. The website will provide user-tested teaching materials, sample maps, and full documentation to support use in high school and college classes, as well as carefully checked data and a digital Holocaust gazetteer for scholarly research.</p>"
45,"HAA-287859-22","Booksnake: Building and Testing an Augmented Reality Tool for Embodied Interaction with Existing Digitized Archival Materials","9/1/2022 - 8/31/2024","Peter","C.","Mancall","Curtis","","Fletcher","University of Southern California","Los Angeles","CA","90089-0012","USA","2022","U.S. History","Digital Humanities Advancement Grants","Digital Humanities","150000","0","150000","0","<p>The development of a prototype application that will allow users to view and manipulate digitized archival materials in augmented reality as well as an evaluation of its potential as a teaching tool for the humanities.</p><p>Interacting with digitized archival materials in a Web browser fails to replicate the close engagement possible during in-person research. We are building Booksnake, a mobile app that transforms existing IIIF-compliant digitized archival materials for interaction in augmented reality. Booksnake dynamically inserts a digitized item into the live camera view on a mobile device, making it feel like the item is physically present and permitting embodied exploration.  Level II funding will support development of a beta-stage prototype and evaluation of Booksnake as a humanities teaching tool in university and K-12 education. We will use the NEH-supported Chronicling America collection of digitized historic newspapers to build support for compound objects, which have multiple images linked to a single catalog record. By the end of the grant period, we will publicly release a working prototype, open-source code, technical documentation, and project results, supporting extensibility and reuse.</p>"
45,"HAA-287903-22","A Knowledge Graph for Managing and Analyzing Spanish American Notary Records","10/1/2022 - 5/31/2024","Viviana","L","Grieco","Praveen","","Rao","University of Missouri, Kansas City","Kansas City","MO","64110-2235","USA","2022","Latin American History","Digital Humanities Advancement Grants","Digital Humanities","149999","0","149999","0","<p>The continued development of computational methods to analyze and process handwritten scripts from 17th century documents.</p><p>We seek NEH funding to complete the development of a software that will enable twenty-first century scholars to expeditiously read and analyze seventeenth-century Spanish American notary records and efficiently find relevant content in these documentary collections. Using recent advances in deep learning and knowledge management, we will develop a tool to manage and analyze about 220,000 pages of digital images of seventeenth-century manuscripts available at the Archivo General de la República Argentina located in Buenos Aires. This collection combines a large variety of handwritten scripts. Based on this distinctive collection, our proposed tool will enable processing manuscripts available at other archival sites and create research and collaboration opportunities elsewhere in Latin America.</p>"
45,"HAA-287905-22","Turath: Arabian Peninsula Digital Archive","9/1/2022 - 8/31/2023","Rosie","","Bsheer","Lauren","","Montague","President and Fellows of Harvard College","Cambridge","MA","02138-3800","USA","2022","Near and Middle Eastern History","Digital Humanities Advancement Grants","Digital Humanities","50000","0","50000","0","<p>The design and development of a prototype of a digital library repository of archival materials on the history of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates, and Yemen.</p><p>Turath is a collaborative, community-centric, and open-source digital archive project that aims to curate a repository on the Arabian Peninsula’s history while building tools for the readability and searchability of Arabic texts. Focusing primarily on local sources from the last two centuries, Turath will collect, digitize, and visualize the records, periodicals, photographs, and audio/video recordings related to the history of the Arabian Peninsula. Turath will also further historical knowledge of the Indian Ocean, East Africa, South Asia, and the United States, and enhance our understanding of such global phenomena as modern capitalism, religion, urbanization, and global warming. Committed to the values of the humanities, Turath prioritizes universal accessibility for researchers while foregrounding and providing a platform for local communities in the peninsula to highlight their roles in history-writing and facilitate their own legacy-making through community archival collections.</p>"
45,"HAA-287908-22","MemoryScan: Humanizing Digital Twin Environments","10/1/2022 - 9/30/2025","Lori","C.","Walters","Joseph","","Kider","University of Central Florida Board of Trustees","Orlando","FL","32816-8005","USA","2022","U.S. History","Digital Humanities Advancement Grants","Digital Humanities","147405","0","147405","0","<p>The development of 3D virtual reality methods to help elicit memory recall from current and former residents of a community in Florida to study how this technique can aid in collecting and documenting oral histories.</p><p>The MemoryScan: Humanizing Digital Twin Environments project (MemoryScan) seeks to develop a prototype community-scale Digital Twin platform to elicit memory recall from current and former citizens and visitors of a particular community. MemoryScan will examine the potential advantages of using Digital Twins (a complete virtual representation of a building(s)) as a tool to assist the capturing of participant reflections and supporting documentation. As an interactive 3D virtual environment, it is designed to be applied to large areas, which can enable users to move between structures without interrupting the experience evoking their reflections. This Digital Twin will permit, through a shared interview/exploration the collection of personal images and documents. Our research seeks to gather personal reflections and contextualize them with a broad spectrum of information related to a community.</p>"
45,"HAA-287921-22","Stolen Relations: Recovering Stories of Indigenous Enslavement in the Americas","9/1/2022 - 8/31/2025","Linford","D.","Fisher","Ashley","","Champagne","Brown University","Providence","RI","02912-9100","USA","2022","History, General","Digital Humanities Advancement Grants","Digital Humanities","350000","0","350000","0","<p>The migration of an existing database and the development of an updated public interface and search engine for the Stolen Relations project, along with outreach activities with local New England tribal communities.</p><p>Stolen Relations: Recovering Stories of Indigenous Enslavement in the Americas (www.indigenousslavery.org) is a community-centered, collaborative project that seeks to broaden our understanding of Indigenous experiences of settler colonialism and its legacies through the lens of slavery and servitude. We are applying for a Level III NEH DHAG in order to design and program a front end public interface, initiate new partnerships (especially with the Tomaquag Museum), and build and expand the technical aspects of the database (including linked open data and migrating to Mukurtu). We are gathering and documenting as many instances as possible of Indigenous enslavement in the Americas between 1492 and 1900 (and beyond, where relevant), focused primarily on New England for now, in close partnership with thirteen regional tribes, nations, and communities. Our project seeks to recover the stories of individuals and make these stories and documents available for use by a broad range of people.</p>"
